,match_id,season,date,seed_type,bastion_type,player_a_uuid,player_b_uuid,player_a_nickname,player_b_nickname,time,elo_a_before,elo_b_before,has_player_forfeited,winner_uuid
26,2805128,9,1755760668,RUINED_PORTAL,TREASURE,3c8757790ab0400b8b9e3936e0dd535b,253b53d832ab4bafb5ee0308d5164ccf,doogile,Aquacorde,549.377,1831,1653,False,3c8757790ab0400b8b9e3936e0dd535b
27,2805182,9,1755761268,SHIPWRECK,TREASURE,3c8757790ab0400b8b9e3936e0dd535b,83558fcba1934a3486ef6c1f21c799f8,doogile,Airpodsz,489.85,1846,1606,False,3c8757790ab0400b8b9e3936e0dd535b
28,2805189,9,1755761321,RUINED_PORTAL,STABLES,78ea25c3db9a4830ba7e78074bd6fd10,253b53d832ab4bafb5ee0308d5164ccf,ogurikappa,Aquacorde,551.107,1529,1650,False,78ea25c3db9a4830ba7e78074bd6fd10
29,2805242,9,1755761906,SHIPWRECK,STABLES,25349f93cf194f3baeee93d024eccc21,3c8757790ab0400b8b9e3936e0dd535b,retropog,doogile,596.039,1697,1854,False,3c8757790ab0400b8b9e3936e0dd535b
30,2805258,9,1755762047,DESERT_TEMPLE,HOUSING,d7d0b271136647fea7398a444ab51c13,253b53d832ab4bafb5ee0308d5164ccf,JustAltoid,Aquacorde,578.876,1556,1586,False,253b53d832ab4bafb5ee0308d5164ccf
31,2805328,9,1755762726,VILLAGE,BRIDGE,83558fcba1934a3486ef6c1f21c799f8,3c8757790ab0400b8b9e3936e0dd535b,Airpodsz,doogile,612.722,1570,1872,False,3c8757790ab0400b8b9e3936e0dd535b
32,2805464,9,1755764062,SHIPWRECK,TREASURE,d7d0b271136647fea7398a444ab51c13,3c8757790ab0400b8b9e3936e0dd535b,JustAltoid,doogile,584.234,1512,1884,False,3c8757790ab0400b8b9e3936e0dd535b
33,2806350,9,1755773373,VILLAGE,STABLES,36a441538cbc463da6a877e6ebc8af91,635f35ee69ed4f0c94ff26ece4818956,megelimc,edcr,561.166,1478,1589,False,635f35ee69ed4f0c94ff26ece4818956
34,2806419,9,1755774034,RUINED_PORTAL,HOUSING,4129d8d1aafb4e73b97b9999db248060,635f35ee69ed4f0c94ff26ece4818956,CroProYT,edcr,545.708,1664,1598,False,635f35ee69ed4f0c94ff26ece4818956
35,2806561,9,1755775288,VILLAGE,STABLES,635f35ee69ed4f0c94ff26ece4818956,56714245be364bd1a469d0853552c109,edcr,orachi_,634.693,1623,1630,False,635f35ee69ed4f0c94ff26ece4818956
36,2806714,9,1755776691,RUINED_PORTAL,TREASURE,734a1c6118754829acc234135470152c,635f35ee69ed4f0c94ff26ece4818956,yeopgihoney,edcr,515.752,1475,1619,False,635f35ee69ed4f0c94ff26ece4818956
37,2806826,9,1755777627,RUINED_PORTAL,STABLES,0b6c44a481e14c7e88ac836c92499ff4,a5d83ff042164ff1b862dedc118c1dae,Khepryyy,steez,734.259,1503,1603,True,
