match_id,date,player_a_uuid,player_b_uuid,player_a_nickname,player_b_nickname,elo_diff,h2h_win_rate_A,map_wr_diff,streak_diff,consistency_diff,form_diff,nether_pace_diff,bastion_pace_diff,fortress_pace_diff,stronghold_pace_diff,end_enter_diff,end_fight_diff,bastion_first_diff,conversion_diff,overworld_type,bastion_type,target
2803910,1755742042,185b039b70284aa9a98850db4ba88e0d,2ef2bfed3d084649b56290328970ace9,ElegantRobin,nahhann,-170,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RUINED_PORTAL,STABLES,1
2803960,1755744563,253b53d832ab4bafb5ee0308d5164ccf,5ee577fdc1af45d3a6fb3e086cc293fb,Aquacorde,Ranik_,-62,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DESERT_TEMPLE,HOUSING,1
2804294,1755752305,253b53d832ab4bafb5ee0308d5164ccf,939ddf85303441de901d60bfa4109318,Aquacorde,thecamo6,-82,0.5,0.0,1,0.0,0.5,129.188,108.045,131.814,30.047,506.111,75.332,1.0,0.5,VILLAGE,TREASURE,1
2804359,1755753018,2ef2bfed3d084649b56290328970ace9,253b53d832ab4bafb5ee0308d5164ccf,nahhann,Aquacorde,-13,0.5,0.0,-2,-66.71250000000003,-1.0,-55.6965,-149.7365,-100.251,-25.007499999999997,-562.4575,-85.698,0.0,-0.5,SHIPWRECK,TREASURE,1
2804458,1755753995,3c8757790ab0400b8b9e3936e0dd535b,2e4fbe60568549f7a6666e1ced1ae385,doogile,R3nR,401,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VILLAGE,BRIDGE,1
2804467,1755754074,2ef2bfed3d084649b56290328970ace9,78ea25c3db9a4830ba7e78074bd6fd10,nahhann,ogurikappa,23,0.5,0.0,1,8.218999999999994,0.0,84.952,151.999,91.881,18.548000000000002,526.648,52.382,1.0,0.5,BURIED_TREASURE,BRIDGE,1
2804517,1755754585,253b53d832ab4bafb5ee0308d5164ccf,25349f93cf194f3baeee93d024eccc21,Aquacorde,retropog,-63,0.5,0.0,0,63.473542552958456,0.16666666666666663,121.35966666666667,154.82333333333335,127.12833333333333,39.577333333333335,553.826,85.698,1.0,0.16666666666666663,BURIED_TREASURE,STABLES,1
2804562,1755755120,25349f93cf194f3baeee93d024eccc21,3c8757790ab0400b8b9e3936e0dd535b,retropog,doogile,-115,0.5,0.0,-1,0.0,-1.0,0.19499999999999318,67.951,-2.2879999999999967,30.164,158.85500000000002,-55.455,0.0,-1.0,RUINED_PORTAL,STABLES,0
2804589,1755755326,e3825f7ff9954031a0b21dbe24f03efb,253b53d832ab4bafb5ee0308d5164ccf,SweepJT,Aquacorde,-198,0.5,-0.5,-1,-56.62870566461858,-0.25,-134.5455,-163.555,-113.88075,-39.2645,-567.32075,-73.37599999999999,-1.0,-0.25,DESERT_TEMPLE,BRIDGE,0
2804600,1755755428,d7d0b271136647fea7398a444ab51c13,2ef2bfed3d084649b56290328970ace9,JustAltoid,nahhann,-110,0.5,-0.5,-2,-10.189030910193987,-0.16666666666666663,-89.322,-152.999,-96.14866666666667,-25.89366666666667,-513.2295,-53.559,-1.0,-0.5,SHIPWRECK,TREASURE,0
2804650,1755755890,3c8757790ab0400b8b9e3936e0dd535b,a0a672a0bc194540bc195220dc170dba,doogile,JackoWacko62,235,0.5,0.0,2,5.692000000000007,0.5,89.01150000000001,141.4995,87.304,20.804,446.0285,50.4795,1.0,0.5,DESERT_TEMPLE,HOUSING,1
2804677,1755756096,253b53d832ab4bafb5ee0308d5164ccf,d7d0b271136647fea7398a444ab51c13,Aquacorde,JustAltoid,84,0.5,0.0,2,50.76463057917395,0.8,16.317000000000007,-71.17499999999998,61.093799999999995,36.1468,569.3888,66.73049999999999,0.0,0.30000000000000004,RUINED_PORTAL,TREASURE,1
2804725,1755756557,3c8757790ab0400b8b9e3936e0dd535b,2e4fbe60568549f7a6666e1ced1ae385,doogile,R3nR,405,0.6666666666666666,0.5,3,79.80845504637269,1.0,-27.739666666666665,-4.013666666666637,90.23333333333333,21.163,501.51933333333335,51.326,0.0,0.5,RUINED_PORTAL,HOUSING,1
2804729,1755756586,25349f93cf194f3baeee93d024eccc21,2ef2bfed3d084649b56290328970ace9,retropog,nahhann,-48,0.5,0.0,-3,55.29940308333144,-0.75,-11.230249999999998,27.420999999999992,-1.6382500000000135,23.501999999999995,73.86500000000001,-54.68699999999999,0.0,-1.0,DESERT_TEMPLE,BRIDGE,0
2804761,1755756949,253b53d832ab4bafb5ee0308d5164ccf,be4ad7e999e14a74974d47ac650062a3,Aquacorde,bbiddd,148,0.5,0.5,3,46.607012295778965,0.33333333333333337,136.799,160.7075,107.36866666666667,39.894999999999996,569.1435,63.3886,1.0,0.33333333333333337,BURIED_TREASURE,STABLES,1
2804773,1755757067,3c8757790ab0400b8b9e3936e0dd535b,939ddf85303441de901d60bfa4109318,doogile,thecamo6,217,0.5,0.0,4,87.24197715943568,1.0,-56.76574999999998,21.19075000000001,94.05225,-56.67425,469.77475,52.334500000000006,0.0,0.5,SHIPWRECK,STABLES,1
2804803,1755757471,253b53d832ab4bafb5ee0308d5164ccf,2ef2bfed3d084649b56290328970ace9,Aquacorde,nahhann,-3,0.3333333333333333,1.0,0,44.49660569385803,0.05714285714285705,31.343000000000004,7.097821428571422,5.181600000000003,9.308342857142847,49.71757142857132,19.985833333333325,0.0,-0.1428571428571429,RUINED_PORTAL,BRIDGE,0
2804839,1755757856,3c8757790ab0400b8b9e3936e0dd535b,83558fcba1934a3486ef6c1f21c799f8,doogile,Airpodsz,205,0.5,0.0,5,82.28927065662934,0.5,92.9426,140.4804,91.1514,17.7766,456.8482,52.19780000000001,1.0,0.5,BURIED_TREASURE,BRIDGE,1
2804863,1755758098,253b53d832ab4bafb5ee0308d5164ccf,d44d0711f1a14ca3b06aad5dbd890216,Aquacorde,hellmoder,253,0.5,-0.5,0,88.07650507859276,0.25,121.49000000000001,172.90875,109.56125,39.01914285714285,581.4525714285713,74.21583333333332,1.0,0.3571428571428571,SHIPWRECK,HOUSING,1
2804873,1755758218,2ef2bfed3d084649b56290328970ace9,5ee577fdc1af45d3a6fb3e086cc293fb,nahhann,Ranik_,134,0.5,0.0,5,47.0335352727179,0.8333333333333334,91.848,35.11960000000002,104.67616666666667,28.418000000000006,508.6262,54.2544,0.0,0.5,RUINED_PORTAL,TREASURE,0
2804941,1755758808,3c8757790ab0400b8b9e3936e0dd535b,253b53d832ab4bafb5ee0308d5164ccf,doogile,Aquacorde,117,0.5,0.5,5,-3.650937804448489,0.2222222222222222,-26.51761111111111,-30.991611111111098,-17.557999999999993,-18.573375000000002,-97.45554166666665,-18.678857142857147,0.0,0.125,SHIPWRECK,TREASURE,1
2805031,1755759692,d7e1777addd845b994867237ba0a6473,253b53d832ab4bafb5ee0308d5164ccf,Jppsh,Aquacorde,-283,0.5,0.16666666666666669,0,-83.73543097614056,-0.19999999999999996,-120.87840000000001,-171.6525,-106.9888,-36.61988888888889,-574.2693333333332,-70.83185714285715,-1.0,-0.2777777777777778,SHIPWRECK,BRIDGE,1
2805036,1755759739,3c8757790ab0400b8b9e3936e0dd535b,37e378a50afe41aa9a91139d524a7ba0,doogile,Duk4n_,284,0.5,0.5,7,91.36857649640596,0.5,95.76571428571428,142.8647142857143,94.4797142857143,17.689285714285713,486.458,58.74885714285715,1.0,0.5,RUINED_PORTAL,STABLES,1
2805128,1755760668,3c8757790ab0400b8b9e3936e0dd535b,253b53d832ab4bafb5ee0308d5164ccf,doogile,Aquacorde,178,0.6666666666666666,0.5,8,2.02500985365549,0.4,-27.751774999999995,-31.44139999999996,-9.496974999999992,-18.265013888888888,-85.12095833333319,-12.319482142857154,0.0,0.2222222222222222,RUINED_PORTAL,TREASURE,1
2805182,1755761268,3c8757790ab0400b8b9e3936e0dd535b,83558fcba1934a3486ef6c1f21c799f8,doogile,Airpodsz,240,0.6666666666666666,0.5,9,80.813464692341,1.0,-66.70833333333331,14.313666666666677,6.64244444444445,19.049333333333333,489.32944444444445,58.522,0.0,0.5,SHIPWRECK,TREASURE,1
2805189,1755761321,78ea25c3db9a4830ba7e78074bd6fd10,253b53d832ab4bafb5ee0308d5164ccf,ogurikappa,Aquacorde,-121,0.5,0.16666666666666669,0,-82.24368847297646,-0.5,1.7544999999999789,-27.8707,13.720299999999995,16.099400000000003,-82.23289999999992,-70.83185714285715,0.0,-0.7,RUINED_PORTAL,STABLES,1
2805242,1755761906,25349f93cf194f3baeee93d024eccc21,3c8757790ab0400b8b9e3936e0dd535b,retropog,doogile,-157,0.3333333333333333,-0.5,-10,-10.76543416235522,-1.0,11.901933333333332,48.783199999999994,1.4294999999999902,32.0069,121.46809999999999,-57.919399999999996,0.0,-1.0,SHIPWRECK,STABLES,0
2805258,1755762047,d7d0b271136647fea7398a444ab51c13,253b53d832ab4bafb5ee0308d5164ccf,JustAltoid,Aquacorde,-30,0.3333333333333333,-0.5,0,-80.05322138791347,-0.5,-7.040199999999999,42.250699999999995,-15.367700000000013,-36.5465,-563.447,-70.83185714285715,0.0,-0.13636363636363635,DESERT_TEMPLE,HOUSING,0
2805328,1755762726,83558fcba1934a3486ef6c1f21c799f8,3c8757790ab0400b8b9e3936e0dd535b,Airpodsz,doogile,-302,0.25,-0.5,-11,-20.583344312611388,-1.0,35.242599999999996,-3.1795000000000186,-17.256199999999993,25.1776,-43.31470000000007,-57.430499999999995,0.0,-1.0,VILLAGE,BRIDGE,0
2805464,1755764062,d7d0b271136647fea7398a444ab51c13,3c8757790ab0400b8b9e3936e0dd535b,JustAltoid,doogile,-372,0.5,-1.0,-12,-57.517281740126094,-1.0,18.61189999999999,65.08536666666669,-12.604500000000002,20.365500000000004,60.00870000000009,-66.8135,0.0,-1.0,SHIPWRECK,TREASURE,0
2806350,1755773373,36a441538cbc463da6a877e6ebc8af91,635f35ee69ed4f0c94ff26ece4818956,megelimc,edcr,-111,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VILLAGE,STABLES,0
2806419,1755774034,4129d8d1aafb4e73b97b9999db248060,635f35ee69ed4f0c94ff26ece4818956,CroProYT,edcr,66,0.5,0.0,-1,0.0,-0.5,-125.794,-215.943,-80.951,-19.06,-511.76,-49.406,-1.0,-0.5,RUINED_PORTAL,HOUSING,0
2806561,1755775288,635f35ee69ed4f0c94ff26ece4818956,56714245be364bd1a469d0853552c109,edcr,orachi_,-7,0.5,0.5,2,7.729000000000042,0.5,93.1425,193.1465,88.90199999999999,43.907000000000004,504.03049999999996,49.406499999999994,1.0,0.5,VILLAGE,STABLES,1
2806714,1755776691,734a1c6118754829acc234135470152c,635f35ee69ed4f0c94ff26ece4818956,yeopgihoney,edcr,-144,0.5,-0.5,-3,-38.82081302886664,-0.5,-115.22333333333331,-186.76366666666664,-87.92466666666667,-36.727333333333334,-531.8136666666666,-48.70866666666666,-1.0,-0.5,RUINED_PORTAL,TREASURE,0
2806909,1755778168,635f35ee69ed4f0c94ff26ece4818956,734a1c6118754829acc234135470152c,edcr,yeopgihoney,112,0.6666666666666666,0.5,4,43.782312732283806,1.0,33.82974999999999,125.57325,-193.77225,34.2725,512.7579999999999,51.571749999999994,1.0,0.5,VILLAGE,HOUSING,1
2807030,1755781005,ac601ce7376f49cea7ce14cd577dac85,173ddbbf36f545f7a422f3b3257565aa,BlazeMind,MinetofuCraft,222,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VILLAGE,TREASURE,1
2807109,1755781788,cc432b2626a44ae1836a50244adbf468,ac601ce7376f49cea7ce14cd577dac85,Watermelon1708,BlazeMind,-56,0.5,0.0,-1,0.0,-0.5,-164.403,-122.002,-99.904,-23.669,-615.529,-106.442,-1.0,-0.5,DESERT_TEMPLE,TREASURE,0
2807173,1755782319,734a1c6118754829acc234135470152c,635f35ee69ed4f0c94ff26ece4818956,yeopgihoney,edcr,-141,0.25,-1.0,-5,-20.941183862403726,-1.0,-22.134199999999993,-62.95099999999999,85.79940000000002,-35.7536,-511.00679999999994,-51.0044,-0.5,-0.5,VILLAGE,STABLES,0
2807179,1755782357,cc432b2626a44ae1836a50244adbf468,a5d83ff042164ff1b862dedc118c1dae,Watermelon1708,steez,-74,0.5,0.0,0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RUINED_PORTAL,TREASURE,1
2807257,1755782942,635f35ee69ed4f0c94ff26ece4818956,a5d83ff042164ff1b862dedc118c1dae,edcr,steez,16,0.5,0.0,6,54.49421211697624,1.0,50.51866666666666,39.378666666666646,21.158833333333334,-9.82183333333333,65.51733333333328,52.57216666666667,0.0,1.0,SHIPWRECK,TREASURE,1
2807387,1755783895,a5d83ff042164ff1b862dedc118c1dae,c9c05e7e18814e4fa6bbcf0bd0119df7,steez,Simply_Useless,133,0.5,-0.5,0,19.595999999999975,-0.5,99.7565,161.017,95.135,42.583,462.218,0.0,1.0,-0.5,SHIPWRECK,TREASURE,0
2807406,1755783988,542eca51763f42ed925b8a68122a99fd,ac601ce7376f49cea7ce14cd577dac85,m3rcuryOvO,BlazeMind,-43,0.5,-0.5,-2,-47.297500000000014,-0.5,-146.809,-124.499,-122.15599999999999,-30.087000000000003,-593.3779999999999,-81.2955,-1.0,-0.5,DESERT_TEMPLE,STABLES,0
2807460,1755784313,cc432b2626a44ae1836a50244adbf468,635f35ee69ed4f0c94ff26ece4818956,Watermelon1708,edcr,-122,0.5,0.0,-6,11.158118170052283,-0.5,-38.282285714285706,-21.692999999999984,-8.456857142857146,-1.6171428571428592,-73.0461428571428,-1.2462857142857118,-0.5,0.0,BURIED_TREASURE,HOUSING,1
2807494,1755784590,0b863352af474dd389ec64e9eb1a38c0,a5d83ff042164ff1b862dedc118c1dae,90Tom,steez,18,0.5,0.0,0,-152.64819296670368,0.5,-106.87400000000001,-173.34133333333332,-106.359,-42.583,-462.218,0.0,-1.0,0.5,DESERT_TEMPLE,BRIDGE,0
2807536,1755784848,92b63a39b36a445fa94c77ae212dcea3,0b6c44a481e14c7e88ac836c92499ff4,bing_pigs,Khepryyy,-22,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SHIPWRECK,HOUSING,1
2807592,1755785213,bd276bdda370440a8754989c7faab51a,635f35ee69ed4f0c94ff26ece4818956,CookieAddicts,edcr,-115,0.5,-0.5,0,-54.35277697137471,-0.375,-110.5805,-169.04825,-93.53975,-33.45514285714286,-522.5431428571428,-51.91428571428571,-1.0,-0.5,SHIPWRECK,BRIDGE,0
2807648,1755785590,92b63a39b36a445fa94c77ae212dcea3,ac601ce7376f49cea7ce14cd577dac85,bing_pigs,BlazeMind,-230,0.5,-0.5,-2,-39.435390030895974,0.0,-24.74499999999999,178.784,-35.79633333333334,-0.7203333333333397,116.52966666666669,-20.021,0.0,0.0,VILLAGE,HOUSING,1
2807659,1755785675,0b6c44a481e14c7e88ac836c92499ff4,a5d83ff042164ff1b862dedc118c1dae,Khepryyy,steez,-102,0.5,0.0,-1,-132.39936416293696,-0.25,-8.458250000000007,60.695250000000016,137.41674999999998,-54.465,212.90700000000004,-52.839,0.0,-0.5,VILLAGE,BRIDGE,1
2807690,1755785836,635f35ee69ed4f0c94ff26ece4818956,542eca51763f42ed925b8a68122a99fd,edcr,m3rcuryOvO,15,0.5,0.5,1,51.33413648289455,0.8888888888888888,111.04,171.03766666666667,89.86388888888888,32.267375,522.3787500000001,51.976499999999994,1.0,0.5,RUINED_PORTAL,BRIDGE,1
2807727,1755786155,ac601ce7376f49cea7ce14cd577dac85,dd34e44dfe5d4e05923d876b9c34ca5f,BlazeMind,autoqualler,212,0.5,0.0,0,69.16693632934383,0.25,137.966,130.07225,99.9355,28.148000000000003,555.2974999999999,72.084,1.0,0.25,SHIPWRECK,TREASURE,1
2807778,1755786477,a5d83ff042164ff1b862dedc118c1dae,bd276bdda370440a8754989c7faab51a,steez,CookieAddicts,78,0.5,0.5,0,131.3509503484463,0.2,-58.82419999999999,6.751749999999987,-38.962749999999986,108.638,526.687,52.839,0.0,0.0,DESERT_TEMPLE,BRIDGE,0
2807788,1755786556,635f35ee69ed4f0c94ff26ece4818956,939ddf85303441de901d60bfa4109318,edcr,thecamo6,184,0.5,0.0,2,-79.58529342476214,0.9,-33.08739999999999,43.06269999999998,17.538299999999992,-41.29244444444444,519.6280000000002,52.41911111111111,0.0,0.5,DESERT_TEMPLE,BRIDGE,1
2807844,1755786883,92b63a39b36a445fa94c77ae212dcea3,ac601ce7376f49cea7ce14cd577dac85,bing_pigs,BlazeMind,-167,0.6666666666666666,0.0,1,23.069126671277488,0.19999999999999996,4.995100000000008,88.94659999999999,-28.4234,-5.1897000000000055,68.56050000000016,-12.763500000000008,0.0,0.19999999999999996,RUINED_PORTAL,HOUSING,1
2807880,1755787122,635f35ee69ed4f0c94ff26ece4818956,734a1c6118754829acc234135470152c,edcr,yeopgihoney,166,0.8,0.5,3,-17.49361181941933,0.9,2.7196666666666687,24.461399999999998,-67.8110666666667,34.8827,521.0038000000001,52.10509999999999,0.33333333333333337,0.5,DESERT_TEMPLE,TREASURE,1
2807969,1755787627,cc432b2626a44ae1836a50244adbf468,92b63a39b36a445fa94c77ae212dcea3,Watermelon1708,bing_pigs,38,0.5,-0.5,-1,-39.265393732269985,-0.33333333333333337,-43.28483333333334,-38.10699999999997,13.278833333333324,41.73566666666666,-45.414499999999975,-1.9183333333333437,-0.33333333333333337,0.0,SHIPWRECK,HOUSING,0
2807988,1755787770,ac601ce7376f49cea7ce14cd577dac85,25349f93cf194f3baeee93d024eccc21,BlazeMind,retropog,234,0.5,0.5,0,28.004549271555774,0.6666666666666666,8.846916666666672,-77.59533333333331,8.235333333333344,-24.538799999999995,-81.02600000000018,67.45750000000001,0.0,0.8,BURIED_TREASURE,STABLES,0
2807989,1755787772,635f35ee69ed4f0c94ff26ece4818956,562a308be86c4ec09438387860e792cc,edcr,Oxidiot,214,0.5,0.5,4,56.447021696100144,0.4,110.4014,158.1795,94.39099999999999,35.2689,513.2486,52.1832,1.0,0.5,RUINED_PORTAL,BRIDGE,1
2808078,1755788357,635f35ee69ed4f0c94ff26ece4818956,92b63a39b36a445fa94c77ae212dcea3,edcr,bing_pigs,117,0.5,0.0,1,-42.74940618355095,-0.09999999999999998,-17.452450000000027,-38.75749999999999,18.556499999999986,-0.6287500000000037,-72.34815000000003,1.401849999999996,0.0,0.0,RUINED_PORTAL,TREASURE,0
2808108,1755788528,ac601ce7376f49cea7ce14cd577dac85,562a308be86c4ec09438387860e792cc,BlazeMind,Oxidiot,190,0.5,0.0,0,92.55998470776692,0.5714285714285714,20.319714285714284,-80.87683333333334,49.879714285714286,-4.749166666666664,-27.586666666666815,67.45750000000001,-0.1428571428571429,0.6666666666666666,VILLAGE,HOUSING,1
2808227,1755789310,d30aa493035d4b168c8a4a1c20c766c8,635f35ee69ed4f0c94ff26ece4818956,CxrtxR,edcr,-181,0.5,-0.5,0,-50.93546122388605,-0.30000000000000004,-100.7571,-166.7644,-90.2361,-29.7973,-507.9687,-52.9736,-1.0,-0.42307692307692313,SHIPWRECK,BRIDGE,0
